3,1,C
3,2,C
3,3,C
3,4,D
3,5,S
3,6,C
3,7,C
3,8,F
3,9,R
3,10,T
4,1,Q
4,2,W
4,3,E
4,4,R
4,5,T
4,6,Y
4,7,U
4,8,I
4,9,O
4,10,P
5,1,B
5,2,B
5,3,B
5,4,B
5,5,B
5,6,B
5,7,B
5,8,B
5,9,B
5,10,B
7,1,C
7,2,D
7,3,C
7,4,D
7,5,C
7,6,D
7,7,C
7,8,D
7,9,C
7,10,D
8,1,A
8,2,B
8,3,C
8,4,D
8,5,E
8,6,F
8,7,G
8,8,H
8,9,I
8,10,J
9,1,K
9,2,L
9,3,M
9,4,N
9,5,O
9,6,P
9,7,Q
9,8,R
9,9,S
9,10,T
10,1,A
10,2,A
10,3,A
10,4,B
10,5,B
10,6,B
10,7,C
10,8,C
10,9,C
10,10,D
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,

,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
12,1,A
12,2,D
12,3,A
12,4,A
12,5,A
12,6,C
12,7,D
12,8,B
12,9,F
12,10,A
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,

,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,

1,1,C
1,2,A
1,3,A
1,4,A
1,5,A
1,6,A
1,7,A
1,8,A
1,9,A
1,10,A
,1,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,10,
,1,
,2,
,3,
,4,
,5,
,6,
,7,
,8,
,9,
,10,
